"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"267","12","","Aldrick Rosas","NYG","K16","11","153","332","262.7","22.7","225.0","-42.0"
"268","12","","Equanimeous St. Brown","GB","WR92","11","159","350","252.3","36.2","344.0","+76.0"
"269","12","","Keelan Cole","JAC","WR93","10","82","354","255.7","35.5","353.0","+84.0"
"270","12","","Ryan Fitzpatrick","MIA","QB32","5","33","395","267.0","43.5","271.0","+1.0"
"271","12","","Chris Boswell","PIT","K17","7","204","305","270.9","23.7","274.0","+3.0"
"272","12","","Green Bay (GB)","","DST21","11","145","318","266.8","35.6","229.0","-43.0"
"273","12","","Chris Conley","JAC","WR94","10","157","371","261.5","38.5","386.0","+113.0"
"274","12","","Dan Bailey","MIN","K18","12","204","305","266.3","22.6","214.0","-60.0"
"275","12","","Atlanta (ATL)","","DST22","9","203","318","265.3","25.6","244.0","-31.0"
"276","12","","J.J. Arcega-Whiteside","PHI","WR95","10","155","373","261.2","40.6","272.0","-4.0"
"277","12","","Ryan Succop","TEN","K19","11","208","308","274.5","19.9","250.0","-27.0"
"278","12","","Miles Boykin","BAL","WR96","8","96","345","248.5","60.0","283.0","+5.0"
"279","12","","Rashard Higgins","CLE","WR97","7","110","360","261.9","51.0","263.0","-16.0"
"280","12","","Josh Rosen","MIA","QB33","5","43","371","279.9","43.0","273.0","-7.0"
"281","12","","Josh Lambo","JAC","K20","10","154","353","286.3","27.0","315.0","+34.0"
"282","12","","Breshad Perriman","TB","WR98","7","148","379","281.5","47.0","371.0","+89.0"
"283","12","","Benny Snell Jr.","PIT","RB78","7","84","379","273.1","44.6","257.0","-26.0"
"284","12","","Brandon McManus","DEN","K21","10","210","339","284.1","18.1","260.0","-24.0"
"285","12","","Hakeem Butler","ARI","WR99","12","73","385","274.0","42.9","278.0","-7.0"
"286","12","","Nick Vannett","SEA","TE33","11","191","357","278.3","35.5","451.0","+165.0"
"287","12","","Corey Clement","PHI","RB79","10","189","355","278.2","33.9","354.0","+67.0"
"288","12","","Chris Hogan","CAR","WR100","7","178","387","283.4","42.5","303.0","+15.0"
"289","12","","Arizona (ARI)","","DST23","12","165","337","286.1","30.6","268.0","-21.0"
"290","12","","Taywan Taylor","TEN","WR101","11","194","373","273.4","40.3","403.0","+113.0"
"291","12","","Greg Joseph","CLE","K22","7","171","342","281.7","27.8","349.0","+58.0"
"292","12","","Washington (WAS)","","DST24","10","141","323","289.6","40.8","251.0","-41.0"
"293","13","","Ty Montgomery","NYJ","RB80","4","149","384","282.2","48.5","329.0","+36.0"
"294","13","","Terry McLaurin","WAS","WR102","10","79","374","251.1","59.5","327.0","+33.0"
"295","13","","Demaryius Thomas","NE","WR103","10","148","379","266.6","47.8","245.0","-50.0"
"296","13","","Dexter Williams","GB","RB81","11","153","362","264.3","54.7","277.0","-19.0"
"297","13","","Steven Hauschka","BUF","K23","6","156","332","294.1","27.3","311.0","+14.0"
"298","13","","Devontae Booker","DEN","RB82","10","188","382","287.4","41.1","376.0","+78.0"
"299","13","","Charles Clay","ARI","TE34","12","209","391","293.7","40.4","418.0","+119.0"
"300","13","","Giorgio Tavecchio","ATL","K24","9","204","325","271.1","35.2","211.0","-89.0"
"301","13","","Case Keenum","WAS","QB34","10","44","400","304.6","35.7","346.0","+45.0"
"302","13","","Detroit (DET)","","DST25","5","164","347","300.1","27.9","247.0","-55.0"
"303","13","","Alfred Blue","JAC","RB83","10","143","392","296.7","51.1","316.0","+13.0"
"304","13","","Daniel Carlson","OAK","K25","6","157","342","301.6","31.5","340.0","+36.0"
"305","13","","Josh Adams","PHI","RB84","10","84","388","283.8","59.0","412.0","+107.0"
"306","13","","Demarcus Robinson","KC","WR104","12","137","378","284.7","47.4","290.0","-16.0"
"307","13","","Jonnu Smith","TEN","TE35","11","139","365","282.6","37.7","400.0","+93.0"
"308","13","","Diontae Johnson","PIT","WR105","7","138","389","278.8","53.9","323.0","+15.0"
"309","13","","Cairo Santos","TB","K26","7","183","332","303.0","24.5","660.0","+351.0"
"310","13","","New York (NYJ)","","DST26","4","207","355","291.7","30.3","239.0","-71.0"
"311","13","","Jordan Wilkins","IND","RB85","6","236","393","298.3","36.0","374.0","+63.0"
"312","13","","Will Dissly","SEA","TE36","11","163","360","266.5","55.4","342.0","+30.0"
"313","13","","New York (NYG)","","DST27","11","152","355","310.5","32.5","280.0","-33.0"
"314","13","","Jordan Thomas","HOU","TE37","10","163","368","262.7","52.9","308.0","-6.0"
"315","13","","Jalen Hurd","SF","WR106","4","97","386","281.4","68.9","295.0","-20.0"
"316","13","","Matt LaCosse","NE","TE38","10","173","394","259.6","52.8","265.0","-51.0"
"317","13","","Deon Cain","IND","WR107","6","210","379","306.1","44.2","312.0","-5.0"
"318","13","","Wendell Smallwood","PHI","RB86","10","199","382","304.6","33.3","391.0","+73.0"
"319","13","","Wayne Gallman","NYG","RB87","11","233","372","311.4","31.3","343.0","+24.0"
"320","13","","Cordarrelle Patterson","CHI","WR108","6","198","396","310.0","41.2","394.0","+74.0"
"321","13","","Irv Smith Jr.","MIN","TE39","12","153","366","283.2","39.7","235.0","-86.0"
"322","13","","Jake Kumerow","GB","WR109","11","175","378","304.7","41.4","385.0","+63.0"
"323","13","","San Francisco (SF)","","DST28","4","150","347","305.3","34.2","234.0","-89.0"
"324","13","","Spencer Ware","IND","RB88","6","187","380","277.2","45.5","360.0","+36.0"
"325","13","","KeeSean Johnson","ARI","WR110","12","163","390","277.7","67.9","314.0","-11.0"
"326","13","","Jake Butt","DEN","TE40","10","191","385","301.3","41.0","384.0","+58.0"
"327","13","","Josh Gordon","NE","WR111","10","140","377","262.9","63.3","191.0","-136.0"
"328","13","","Geoff Swaim","JAC","TE41","10","127","381","270.0","64.6","310.0","-18.0"
"329","13","","Daniel Jones","NYG","QB35","11","45","404","312.5","45.8","261.0","-68.0"
"330","13","","Ryan Grant","OAK","WR112","6","212","372","303.1","34.0","765.0","+435.0"
"331","13","","Keith Kirkwood","NO","WR113","9","208","390","311.0","39.2","551.0","+220.0"
"332","13","","Travis Benjamin","LAC","WR114","12","111","390","271.9","53.2","375.0","+43.0"
"333","13","","Hunter Renfrow","OAK","WR115","6","97","396","277.1","63.6","296.0","-37.0"
"334","13","","Ryan Tannehill","TEN","QB36","11","47","414","327.0","41.8","411.0","+77.0"
"335","13","","Dustin Hopkins","WAS","K27","10","158","332","313.5","23.9","306.0","-29.0"
"336","13","","Tampa Bay (TB)","","DST29","7","145","352","314.9","35.4","305.0","-31.0"
"337","13","","Bruce Anderson","TB","RB89","7","181","369","288.3","46.4","331.0","-6.0"
"338","13","","Miami (MIA)","","DST30","5","140","355","315.2","39.4","289.0","-49.0"
"339","13","","Justin Watson","TB","WR116","7","212","379","287.4","46.9","438.0","+99.0"
"340","13","","Cameron Meredith","NE","WR117","10","223","405","312.6","33.8","873.0","+533.0"
"341","13","","Maurice Harris","NE","WR118","10","151","390","272.0","49.2","313.0","-28.0"
"342","13","","Benjamin Watson","NE","TE42","10","147","383","287.0","43.6","256.0","-86.0"
"343","13","","Matt Bryant","FA","K28","","197","320","268.7","34.5","325.0","-18.0"
"344","13","","J'Mon Moore","GB","WR119","11","241","384","312.4","31.6","858.0","+514.0"
"345","14","","Cameron Artis-Payne","CAR","RB90","7","237","388","329.7","29.5","332.0","-13.0"
"346","14","","Trent Taylor","SF","WR120","4","214","371","305.2","45.9","348.0","+2.0"
"347","14","","Bilal Powell","NYJ","RB91","4","217","363","312.7","33.6","352.0","+5.0"
"348","14","","Blake Jarwin","DAL","TE43","8","142","374","298.0","52.0","330.0","-18.0"
"349","14","","John Kelly","LAR","RB92","9","257","393","318.4","34.8","682.0","+333.0"
"350","14","","Jace Sternberger","GB","TE44","11","173","376","288.7","44.5","366.0","+16.0"
"351","14","","C.J. Uzomah","CIN","TE45","9","163","391","305.2","46.0","350.0","-1.0"
"352","14","","Vernon Davis","WAS","TE46","10","190","352","305.6","37.3","456.0","+104.0"
"353","14","","Mike Weber","DAL","RB93","8","199","377","318.2","33.6","292.0","-61.0"
"354","14","","Qadree Ollison","ATL","RB94","9","185","386","307.5","54.4","291.0","-63.0"
"355","14","","Rod Smith","NYG","RB95","11","237","388","324.9","25.3","1,024.0","+669.0"
"356","14","","Kendrick Bourne","SF","WR121","4","179","392","320.5","37.6","422.0","+66.0"
"357","14","","Luke Willson","OAK","TE47","6","242","389","309.0","35.7","743.0","+386.0"
"358","14","","Jesse James","DET","TE48","5","219","362","308.5","39.1","276.0","-82.0"
"359","14","","Brian Hill","ATL","RB96","9","167","376","260.1","47.3","351.0","-8.0"
"360","14","","Dontrell Hilliard","CLE","RB97","7","173","386","272.8","61.7","337.0","-23.0"
"361","14","","Alfred Morris","DAL","RB98","8","166","386","286.1","52.3","226.0","-135.0"
"362","14","","Chandler Catanzaro","FA","K29","","220","342","313.7","21.1","339.0","-23.0"
"363","14","","Jay Ajayi","FA","RB99","","170","393","288.3","49.5","255.0","-108.0"
"364","14","","Ameer Abdullah","MIN","RB100","12","280","388","331.1","26.6","508.0","+144.0"
"365","14","","Josh Oliver","JAC","TE49","10","180","389","315.8","55.8","363.0","-2.0"
"366","14","","Zach Zenner","DET","RB101","5","193","388","336.0","30.0","428.0","+62.0"
"367","14","","Andre Ellington","TB","RB102","7","187","390","303.9","44.9","1,023.0","+656.0"
"368","14","","Trayveon Williams","CIN","RB103","9","199","378","325.4","33.9","307.0","-61.0"
"369","14","","Myles Gaskin","MIA","RB104","5","232","382","335.0","22.3","364.0","-5.0"
"370","14","","Dawson Knox","BUF","TE50","6","180","383","296.7","48.5","383.0","+13.0"
"371","14","","Tim Patrick","DEN","WR122","10","102","373","320.5","44.7","476.0","+105.0"
"372","14","","Cody Parkey","FA","K30","","155","353","294.0","40.8","368.0","-4.0"
"373","14","","Tyler Higbee","LAR","TE51","9","209","366","322.7","36.7","373.0","0.0"
"374","14","","Jeff Wilson","SF","RB105","4","270","385","331.5","26.0","490.0","+116.0"
"375","14","","Jakobi Meyers","NE","WR123","10","151","373","291.9","56.1","285.0","-90.0"
"376","14","","Chester Rogers","IND","WR124","6","228","396","337.4","36.2","446.0","+70.0"
"377","14","","Darren Sproles","PHI","RB106","10","199","368","296.8","52.8","288.0","-89.0"
"378","14","","Adam Shaheen","CHI","TE52","6","163","368","322.2","40.1","430.0","+52.0"
"379","14","","Dontrelle Inman","NE","WR125","10","152","398","315.6","46.1","727.0","+348.0"
"380","14","","Trenton Cannon","NYJ","RB107","4","282","381","340.6","23.9","425.0","+45.0"
"381","14","","Jaron Brown","SEA","WR126","11","194","384","305.1","41.6","426.0","+45.0"
"382","14","","Bryce Love","WAS","RB108","10","187","386","311.9","47.2","318.0","-64.0"
"383","14","","Michael Crabtree","FA","WR127","","242","366","294.1","34.8","369.0","-14.0"
"384","14","","Jordan Scarlett","CAR","RB109","7","166","389","315.1","58.0","378.0","-6.0"
"385","14","","Austin Seferian-Jenkins","FA","TE53","","246","343","282.1","23.9","583.0","+198.0"
"386","14","","Mark Walton","MIA","RB110","5","270","369","325.9","25.4","1,025.0","+639.0"
"387","14","","Chad Beebe","MIN","WR128","12","211","382","300.4","51.2","492.0","+105.0"
"388","14","","Kelvin Harmon","WAS","WR129","10","239","395","323.9","45.0","317.0","-71.0"
"389","14","","Cincinnati (CIN)","","DST31","9","149","355","331.8","18.5","336.0","-53.0"
"390","14","","Laquon Treadwell","MIN","WR130","12","271","382","336.5","25.6","434.0","+44.0"
"391","14","","Randy Bullock","CIN","K31","9","284","353","327.7","12.1","413.0","+22.0"
"392","14","","Jakeem Grant","MIA","WR131","5","240","369","307.8","42.9","1,018.0","+626.0"
"393","14","","Damarea Crockett","HOU","RB111","10","245","364","300.6","41.2","464.0","+71.0"
"394","14","","Ryan Switzer","PIT","WR132","7","222","376","316.6","45.8","441.0","+47.0"
"395","14","","Drew Lock","DEN","QB37","10","241","417","347.5","28.1","345.0","-50.0"
"396","14","","Preston Williams","MIA","WR133","5","219","378","296.1","48.2","304.0","-92.0"
"397","14","","Rodney Anderson","CIN","RB112","9","257","385","333.8","30.5","320.0","-77.0"
"398","14","","Ty Johnson","DET","RB113","5","233","357","270.9","37.8","423.0","+25.0"
"399","14","","Tyler Kroft","BUF","TE54","6","246","391","325.7","35.7","420.0","+21.0"
"400","14","","Kahale Warring","HOU","TE55","10","267","394","330.7","41.9","417.0","+17.0"
"401","14","","Cody Latimer","NYG","WR134","11","222","377","306.5","45.1","380.0","-21.0"
"402","14","","Darrel Williams","KC","RB114","12","200","378","323.7","40.3","367.0","-35.0"
"403","14","","Gary Jennings","SEA","WR135","11","206","377","329.7","31.9","478.0","+75.0"
"404","14","","Marcus Murphy","BUF","RB115","6","292","383","343.2","17.2","959.0","+555.0"
"405","14","","Jordan Matthews","SF","WR136","4","304","377","341.4","22.0","452.0","+47.0"
"406","15","","Zane Gonzalez","ARI","K32","12","285","353","327.5","17.7","347.0","-59.0"
"407","15","","Blake Bortles","LAR","QB38","9","282","397","351.4","27.6","388.0","-19.0"
"408","15","","Javorius Allen","FA","RB116","","273","382","330.3","21.5","442.0","+34.0"
"409","15","","Travis Homer","SEA","RB117","11","168","384","322.2","47.9","493.0","+84.0"
"410","15","","Oakland (OAK)","","DST32","6","295","355","335.2","12.0","297.0","-113.0"
"411","15","","Allen Hurns","MIA","WR137","5","173","407","350.9","32.9","714.0","+303.0"
"412","15","","Chris Moore","BAL","WR138","8","203","383","324.9","36.1","356.0","-56.0"
"413","15","","Riley Ridley","CHI","WR139","6","265","393","348.1","35.5","286.0","-127.0"
"414","15","","Jarius Wright","CAR","WR140","7","256","395","352.6","30.9","449.0","+35.0"
"415","15","","Taysom Hill","NO","QB39","9","295","408","357.5","21.9","381.0","-34.0"
"416","15","","Jeff Heuerman","DEN","TE56","10","161","376","345.0","31.7","432.0","+16.0"
"417","15","","LeGarrette Blount","FA","RB118","","307","358","335.3","12.3","402.0","-15.0"
"418","15","","Alex Collins","FA","RB119","","188","334","304.7","24.4","409.0","-9.0"
"419","15","","Eddy Pineiro","CHI","K33","6","251","353","338.2","16.3","334.0","-85.0"
"420","15","","Dez Bryant","FA","WR141","","271","315","291.2","14.0","301.0","-119.0"
"421","15","","J.J. Nelson","OAK","WR142","6","250","389","322.3","33.0","515.0","+94.0"
"422","15","","Teddy Bridgewater","NO","QB40","9","289","385","350.5","18.6","377.0","-45.0"
"423","15","","Mike Boone","MIN","RB120","12","273","367","342.3","20.2","1,007.0","+584.0"
"424","15","","Jason Sanders","MIA","K34","5","316","344","336.8","5.6","390.0","-34.0"
"425","15","","Josh Ferguson","HOU","RB121","10","175","353","276.3","73.4","1,022.0","+597.0"
"426","15","","Matt Gay","TB","K35","7","236","353","320.3","20.1","300.0","-126.0"
"427","15","","Torrey Smith","CAR","WR143","7","279","378","335.7","29.7","563.0","+136.0"
"428","15","","Pierre Garcon","FA","WR144","","293","353","311.2","21.8","541.0","+113.0"
"429","15","","Kyle Juszczyk","SF","RB122","4","256","365","336.3","31.1","439.0","+10.0"
"430","15","","Demetrius Harris","CLE","TE57","7","295","391","361.1","24.0","429.0","-1.0"
"431","15","","Elijah Holyfield","CAR","RB123","7","110","283","196.5","86.5","335.0","-96.0"
"432","15","","Scott Miller","TB","WR145","7","259","355","300.5","38.2","",""
"433","15","","Kevin White","ARI","WR146","12","262","377","334.5","32.3","518.0","+85.0"
"434","15","","Darius Slayton","NYG","WR147","11","250","379","337.7","28.1","468.0","+34.0"
"435","15","","Josh Hill","NO","TE58","9","305","389","352.9","24.8","401.0","-34.0"
"436","15","","Austin Seibert","CLE","K36","7","249","353","309.0","44.7","321.0","-115.0"
"437","15","","Foster Moreau","OAK","TE59","6","275","402","354.5","38.4","498.0","+61.0"
"438","15","","Chris Ivory","FA","RB124","","329","361","339.7","14.1","488.0","+50.0"
"439","15","","DeAndre Washington","OAK","RB125","6","322","380","354.3","17.4","676.0","+237.0"
"440","15","","Tavon Austin","DAL","WR148","8","298","390","340.7","31.1","404.0","-36.0"
"441","15","","Nick Mullens","SF","QB41","4","279","385","329.8","39.1","462.0","+21.0"
"442","15","","Alex Erickson","CIN","WR149","9","280","384","350.7","25.8","1,009.0","+567.0"
"443","15","","Will Grier","CAR","QB42","7","242","386","365.8","14.3","410.0","-33.0"
"444","15","","Alex Barnes","TEN","RB126","11","249","368","345.2","24.8","469.0","+25.0"
"445","15","","Jacob Hollister","SEA","TE60","11","282","343","319.8","23.1","864.0","+419.0"
"446","15","","Benny Cunningham","FA","RB127","","235","386","336.8","48.3","1,021.0","+575.0"
"447","15","","J.D. McKissic","SEA","RB128","11","238","386","347.2","28.7","1,020.0","+573.0"
"448","15","","Karan Higdon","HOU","RB129","10","309","392","347.5","23.8","502.0","+54.0"
"449","15","","Boston Scott","PHI","RB130","10","315","367","347.8","15.9","1,015.0","+566.0"
"450","15","","Darius Jackson","DAL","RB131","8","277","378","323.5","36.6","328.0","-122.0"
"451","15","","Jason Croom","BUF","TE61","6","228","374","339.2","27.6","919.0","+468.0"
"452","15","","Braxton Berrios","NE","WR150","10","246","261","253.5","7.5","524.0","+72.0"
"453","15","","Corey Grant","FA","RB132","","319","364","343.0","17.7","885.0","+432.0"
"454","15","","Byron Pringle","KC","WR151","12","258","380","329.8","44.5","466.0","+12.0"
"455","15","","Kelvin Benjamin","FA","WR152","","300","357","330.3","20.2","507.0","+52.0"
"456","15","","Jordan Akins","HOU","TE62","10","283","394","353.0","33.3","890.0","+434.0"
"457","15","","Jordan Lasley","OAK","WR153","6","289","341","309.0","22.9","603.0","+146.0"
"458","15","","Tyrod Taylor","LAC","QB43","12","293","362","334.0","27.8","600.0","+142.0"
"459","15","","Nick O'Leary","MIA","TE63","5","282","332","315.3","23.6","915.0","+456.0"
"460","15","","Seth Roberts","BAL","WR154","8","301","378","351.2","24.5","454.0","-6.0"
"461","15","","Justin Hardy","ATL","WR155","9","293","370","354.4","16.5","1,017.0","+556.0"
"462","15","","Jacquizz Rodgers","NO","RB133","9","321","332","328.0","5.0","599.0","+137.0"
"463","15","","Emmanuel Butler","NO","WR156","9","253","334","293.5","40.5","485.0","+22.0"
"464","15","","Xavier Grimble","PIT","TE64","7","285","362","331.3","33.3","880.0","+416.0"
"465","15","","C.J. Prosise","SEA","RB134","11","245","406","359.8","39.4","609.0","+144.0"
"466","15","","Colt McCoy","WAS","QB44","10","269","397","350.3","48.4","760.0","+294.0"
"467","15","","Drew Sample","CIN","TE65","9","267","370","335.0","48.1","495.0","+28.0"
"468","15","","James Develin","NE","RB135","10","329","380","360.4","18.0","372.0","-96.0"
"469","15","","Ryan Griffin","NYJ","TE66","4","320","356","337.0","14.8","473.0","+4.0"
"470","15","","Raheem Mostert","SF","RB136","4","280","392","364.2","27.5","946.0","+476.0"
"471","15","","Gregory Howell","HOU","RB137","10","245","383","314.0","69.0","997.0","+526.0"
"472","15","","Rhett Ellison","NYG","TE67","11","308","388","364.6","18.7","653.0","+181.0"
"473","15","","Greg Dortch","NYJ","WR157","4","290","340","315.0","25.0","615.0","+142.0"
"474","15","","Blake Bell","KC","TE68","12","319","394","370.7","19.1","396.0","-78.0"
"475","15","","Mo Alie-Cox","IND","TE69","6","301","394","366.4","19.4","448.0","-27.0"
"476","16","","T.J. Logan","ARI","RB138","12","321","394","345.7","34.2","875.0","+399.0"
"477","16","","James O'Shaughnessy","JAC","TE70","10","320","389","367.0","24.5","459.0","-18.0"
"478","16","","Chad Williams","ARI","WR158","12","304","409","363.0","37.7","557.0","+79.0"
"479","16","","Ed Dickson","SEA","TE71","11","341","383","367.8","16.0","500.0","+21.0"
"480","16","","Nick Boyle","BAL","TE72","8","349","383","360.5","13.2","690.0","+210.0"
"481","16","","Austin Carr","NO","WR159","9","339","364","348.7","11.0","555.0","+74.0"
"482","16","","Jacoby Brissett","IND","QB45","6","343","387","369.0","17.0","427.0","-55.0"
"483","16","","CJ Ham","MIN","RB139","12","322","372","350.3","20.9","647.0","+164.0"
"484","16","","Elijhaa Penny","NYG","RB140","11","331","392","363.0","24.6","1,019.0","+535.0"
"485","16","","Russell Shepard","NYG","WR160","11","356","375","363.3","7.1","1,001.0","+516.0"
"486","16","","Virgil Green","LAC","TE73","12","350","356","352.3","2.6","517.0","+31.0"
"487","16","","Devine Ozigbo","NO","RB141","9","329","331","330.0","1.0","382.0","-105.0"
"488","16","","Lee Smith","BUF","TE74","6","299","365","332.0","33.0","848.0","+360.0"
"489","16","","Noah Brown","DAL","WR161","8","323","372","354.7","22.4","542.0","+53.0"
"490","16","","Maxx Williams","ARI","TE75","12","345","396","365.5","21.7","731.0","+241.0"
"491","16","","Eli Rogers","PIT","WR162","7","341","415","375.4","27.2","658.0","+167.0"
"492","16","","Marcell Ateman","OAK","WR163","6","344","383","365.8","15.1","803.0","+311.0"
"493","16","","Brice Butler","MIA","WR164","5","333","396","366.0","26.6","711.0","+218.0"
"494","16","","Tajae Sharpe","TEN","WR165","11","333","416","363.0","37.6","457.0","-37.0"
"495","16","","Bennie Fowler","NYG","WR166","11","318","383","358.7","28.9","692.0","+197.0"
"496","16","","Robert Griffin","BAL","QB46","8","338","397","378.3","18.9","399.0","-97.0"
"497","16","","Richie James","SF","WR167","4","315","372","343.5","28.5","871.0","+374.0"
"498","16","","Garrett Celek","SF","TE76","4","349","397","371.5","17.3","708.0","+210.0"
"499","16","","Isaiah McKenzie","BUF","WR168","6","343","385","366.0","17.4","460.0","-39.0"
"500","16","","Brandon Powell","DET","WR169","5","359","373","366.0","5.7","602.0","+102.0"
"501","16","","Kenjon Barner","ATL","RB142","9","329","393","374.5","26.4","716.0","+215.0"
"502","16","","Samaje Perine","WAS","RB143","10","312","392","352.0","40.0","612.0","+110.0"
"503","16","","DeAndre Carter","HOU","WR170","10","329","379","354.0","25.0","544.0","+41.0"
"504","16","","Jeremy Hill","FA","RB144","","336","372","354.0","18.0","530.0","+26.0"
"505","16","","Dwayne Allen","MIA","TE77","5","322","389","355.5","33.5","604.0","+99.0"
"506","16","","Zach Line","NO","RB145","9","352","359","355.5","3.5","1,016.0","+510.0"
"507","16","","Trevon Wesco","NYJ","TE78","4","354","358","356.0","2.0","726.0","+219.0"
"508","16","","Brett Hundley","ARI","QB47","12","320","397","358.5","38.5","652.0","+144.0"
"509","16","","Jordan Taylor","MIN","WR171","12","345","396","371.7","20.9","1,002.0","+493.0"
"510","16","","Emanuel Hall","CHI","WR172","6","341","377","359.0","18.0","361.0","-149.0"
"511","16","","Bruce Ellington","FA","WR173","","354","366","360.0","6.0","933.0","+422.0"
"512","16","","Trent Sherfield","ARI","WR174","12","349","378","363.5","14.5","578.0","+66.0"
"513","16","","Dan Arnold","NO","TE79","9","336","411","373.5","37.5","627.0","+114.0"
"514","16","","Andy Janovich","DEN","RB146","10","363","399","379.7","14.8","837.0","+323.0"
"515","16","","Kenneth Farrow","MIA","RB147","5","374","382","378.0","4.0","869.0","+354.0"
"516","16","","Cody Core","CIN","WR175","9","384","395","390.0","3.5","608.0","+92.0"
"517","16","","Dwayne Washington","NO","RB148","9","373","387","380.0","7.0","970.0","+453.0"
"518","16","","Anthony Sherman","KC","RB149","12","375","392","383.5","8.5","450.0","-68.0"
"519","16","","David Fluellen","TEN","RB150","11","388","393","390.5","2.5","965.0","+446.0"
"520","16","","Luke Stocker","ATL","TE80","9","389","412","400.5","11.5","816.0","+296.0"
"521","16","","Andre Roberts","BUF","WR176","6","395","395","395.0","0.0","723.0","+202.0"
""
""